,ID,Commands,Label,seq_out
0,1,could you please tell me the pose of the person at the couch,"[('B-say', 3), ('B-say.per', 4), ('B-say.dest', 12)]","['O', 'O', 'O', 'B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-say.dest']"
1,2,could you please navigate to the dining table find the tray and place it on the storage table,"[('B-go', 3), ('B-go.dest', 7), ('B-go.dest', 6), ('I-go.dest', 7), ('B-find', 8), ('B-find.obj', 10), ('B-put', 12), ('B-put.obj', 13), ('B-put.dest', 17), ('B-put.dest', 16), ('I-put.dest', 17)]","['O', 'O', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest', 'B-find', 'O', 'B-find.obj', 'O', 'B-put', 'B-put.obj', 'O', 'O', 'B-put.dest', 'I-put.dest']"
2,3,get the cloth from the bookcase and place it on the storage table,"[('B-take', 0), ('B-take.obj', 2), ('B-take.dest', 5), ('B-put', 7), ('B-put.obj', 8), ('B-put.dest', 12), ('B-put.dest', 11), ('I-put.dest', 12)]","['B-take', 'O', 'B-take.obj', 'O', 'O', 'B-take.dest', 'O', 'B-put', 'B-put.obj', 'O', 'O', 'B-put.dest', 'I-put.dest']"
3,4,look for the tableware in the corridor,"[('B-find', 0), ('B-find.dest', 6), ('B-find.obj', 3)]","['B-find', 'O', 'O', 'B-find.obj', 'O', 'O', 'B-find.dest']"
4,5,follow skyler from the entrance to the bedroom,"[('B-follow', 0), ('B-follow.per', 1), ('B-follow.dest', 7), ('B-follow.dest', 4)]","['B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest', 'O', 'O', 'B-follow.dest']"
5,6,meet skyler at the entrance and accompany him to the bookcase,"[('B-find', 0), ('B-find.per', 1), ('B-find.dest', 4), ('B-take', 6), ('B-take.per', 7), ('B-take.dest', 10)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-take', 'B-take.per', 'O', 'O', 'B-take.dest']"
6,7,please navigate to the dining table look for the knife and deliver it to francis at the dishwasher,"[('B-go', 1), ('B-go.dest', 5), ('B-go.dest', 4), ('I-go.dest', 5), ('B-find', 6), ('B-find.obj', 9), ('B-take', 11), ('B-take.obj', 12), ('B-take.per', 14), ('B-take.dest', 17)]","['O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest', 'B-find', 'O', 'O', 'B-find.obj', 'O', 'B-take', 'B-take.obj', 'O', 'B-take.per', 'O', 'O', 'B-take.dest']"
7,8,tell me how many people in the bedroom are standing,"[('B-say', 0), ('B-say.per', 1), ('B-say.dest', 7)]","['B-say', 'B-say.per', 'O', 'O', 'O', 'O', 'O', 'B-say.dest', 'O', 'O']"
8,9,lead mary to the bookcase you will find her at the sink,"[('B-take', 0), ('B-take.per', 1), ('B-take.dest', 7), ('B-find', 7), ('B-find.per', 8), ('B-find.dest', 11)]","['B-take', 'B-take.per', 'O', 'O', 'O', 'O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest']"
9,10,meet patricia at the bookcase follow her and navigate to the living room,"[('B-find', 0), ('B-find.dest', 4), ('B-find.per', 1), ('B-follow', 5), ('B-follow.per', 6), ('B-go', 8), ('B-go.dest', 12), ('B-go.dest', 11), ('I-go.dest', 12)]","['B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'B-follow', 'B-follow.per', 'O', 'B-go', 'O', 'O', 'B-go.dest', 'I-go.dest']"
10,11,lead charlie to the couch you will find her at the end table,"[('B-take', 0), ('B-take.dest', 4), ('B-take.dest', 3), ('I-take.dest', 4), ('B-find', 7), ('B-find.per', 8), ('B-find.dest', 12), ('B-find.dest', 11), ('I-find.dest', 12)]","['B-take', 'O', 'O', 'B-take.dest', 'I-take.dest', 'O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'I-find.dest']"
11,12,provide snacks to all the guests in the living room,"[('B-take', 0), ('B-take.dest', 9), ('B-take.dest', 8), ('I-take.dest', 9), ('B-take.obj', 1)]","['B-take', 'B-take.obj', 'O', 'O', 'O', 'O', 'O', 'O', 'B-take.dest', 'I-take.dest']"
12,13,could you meet elizabeth at the entrance and follow her to the bedroom,"[('B-find', 2), ('B-find.dest', 6), ('B-find.per', 3), ('B-follow', 8), ('B-follow.per', 9), ('B-follow.dest', 12)]","['O', 'O', 'B-find', 'B-find.per', 'O', 'O', 'B-find.dest', 'O', 'B-follow', 'B-follow.per', 'O', 'O', 'B-follow.dest']"
