ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,could,you,please,tell,me,the,pose,of,the,person,at,the,couch, , , , , , 
 ,O,O,O,B-say,B-say.per,O,O,O,O,B-say.per,O,O,B-say.dest, , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , 
1,tell,me,how,many,people,in,the,bedroom,are,standing, , , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,O,B-say.dest,O,O, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
2,could,you,locate,a,boy,in,the,dining,room,and,say,the,time, , , , , , 
 ,O,O,B-find,O,B-find.per,O,O,B-find.dest,I-find.dest,O,B-say,O,O, , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , 
3,tell,me,what,s,the,heaviest,object,on,the,dining,table, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,O,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
4,could,you,tell,me,what,s,the,largest,food,on,the,counter, , , , , , , 
 ,O,O,B-say,B-say.per,O,O,O,O,B-say.obj,O,O,B-say.dest, , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , 
5,find,robert,at,the,bookcase,and,ask,him,to,leave, , , , , , , , , 
 ,B-find,B-find.per,O,O,B-find.dest,O,B-say,B-say.per,O,O, , , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , , 
6,tell,me,what,s,the,thinnest,object,on,the,side,table, , , , , , , , 
 ,B-say,B-say.per,O,O,O,O,O,O,O,B-say.dest,I-say.dest, , , , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , , , 
7,contact,jennifer,at,the,sink,and,introduce,it,to,patricia,at,the,sink, , , , , , 
 ,B-find,B-find.per,O,O,B-find.dest,O,B-say,B-say.obj,O,B-say.per,O,O,B-say.dest, , , , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , , , 
8,could,you,please,look,for,a,boy,in,the,dining,room,and,say,the,time, , , , 
 ,O,O,O,B-find,O,O,B-find.per,O,O,B-find.dest,I-find.dest,O,B-say,O,O, , , , 
------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------, , , , 
9,could,you,contact,patricia,at,the,couch,and,introduce,it,to,mary,at,the,exit, , , , 
